Genre,Plot,Ratings,Title
RealityTV,The format for Big Brother in Canada remains largely unchanged from the US edition making them the only two version of the series thus far to follow this format HouseGuests are,5.5,Big Brother Canada
Comedy,An idealistic young Haitian travels to rural Quebec to intern for an independent Member of Parliament when a national debate erupts that finds the MP holding the tiebreaking vote,6.9,My Internship in Canada
RealityTV,Canadians go to storages and but them for the right price,3.1,Storage Wars Canada
RealityTV,The Amazing Race Canada is a reality television competition between ten teams of two in a race around the world for 250000 to amazing locations,7.2,The Amazing Race Canada
RealityTV,Amateur chefs compete in this Canadian version of the realitycooking series,6.3,MasterChef Canada
Drama History Sport,CANADA RUSSIA 72 is shot in a fluid documentary style that effectively captures all the immediacy of the 72 hockey summits intrigues,7.6,Canada Russia 72
Drama,Factbased story about a Pasadena cab driver who picks up what he believes is a routine fare an elderly woman on her way to a funeral However the wealthy woman is soon is insisting that,7.3,Cab to Canada
Animation Short Comedy,A short illustrating a traditional Canadian folk song about a womans admiration for the agility for her boyfriend the log driver,7.5,Canada Vignettes Log Drivers Waltz
Documentary History,A dramatized comprehensive survey of the history of Canada,8.7,Canada A Peoples History
Music RealityTV,,6.0,So You Think You Can Dance Canada
Animation Adventure Comedy Family Fantasy,A look at the relationship between Mike Wazowski Billy Crystal and James P Sully Sullivan John Goodman during their days at Monsters University when they werent necessarily the best of friends,7.3,Monsters University
Comedy Short Animation Family,Three funloving morally upright brothers from Pimento University save their fiance from their fiendish archenemy Dan Backslide in this spoof of the Rover Boys,7.1,The Dover Boys at Pimento University or The Rivals of Roquefort Hall
Horror Mystery Thriller,A sociology instructor finds her new teaching duties at a private college interrupted by the presence of a killer mental hospital patient,3.9,Splatter University
Comedy,Its a story about Khalaf Al Dahshori a young man from a small village in Upper Egypt Saed Who gets a scholarship to the American University in Cairo after getting the 2nd highest,6.6,Saeedi in the American University
Comedy Drama,In prewar Japan a government censor tries to make the writer for a theater troupe alter his comedic script As they work with and against each other the script ends up developing in unexpected ways,7.6,University of Laughs
GameShow,Jeremy Paxman hosts this trivia quiz show where colleges from around the UK compete against each other,6.7,University Challenge
