Author,Content,Date,Title
John McPhee,If youre a doctor and a younger patient uses a lot of cannabis youre likely going to worry about how thats affecting their health Thats especially the case when like Dr Phil Tibbo youre treating a teenager or young adult for a significant psychia 3772 chars,20200209T135845Z,Your brain on cannabis Halifax researcher probes effects on white matter behaviour TheChronicleHeraldca
Graham Slaughter,TORONTO Pipeline protesters linked arms to physically block Deputy Prime Minister Chrystia Freeland from entering a meeting at Halifax City HallFreeland planned to meet with Halifax Mayor Mike Savage on Wednesday but a group of protesters standing in 1724 chars,20200212T223500Z,Pipeline protesters block Freeland from Halifax meeting tell her to call police CTV News
Manish Singh,Tens of thousands of Indians move to the United States to pursue higher education each year But like many others who have arrived from a foreign land they cant secure education loans or personal loans from the banks at interest rates on par with those levie 3342 chars,20200303T162521Z,Leap Finance raises 55M to democratize financing for foreignbound Indian students
NAN,Thousands of picketers from the four main teachers unions march around Queens Park during a provincewide strike in Toronto on Feb 21 2020 Tijana MartinThe Globe and MailThe union representing highschool teachers has ended informal contract talks wi 4261 chars,20200304T204138Z,Exploratory talks between Ontario high school teachers union and government break off The Globe and Mail
NAN,Image copyrightReutersImage caption Protests supporting Wetsuweten hereditary chiefs have taken place across CanadaMounting protests over a Canadian natural gas pipeline have led to dozens of arrests buildings occupied and more than 150 train cancellat 3501 chars,20200211T191915Z,Indigenous pipeline blockades spark Canadawide protests BBC News
NAN,Supporters bring supplies to protesters during a rail blockade in Tyendinaga Mohawk Territory Ont on Feb 17 2020 in solidarity with the Wetsuweten hereditary chiefs opposed to the LNG pipeline in northern British ColumbiaLars HagbergThe Canadian P 5887 chars,20200219T000700Z,Businesses step up pressure on Trudeau to end rail blockades The Globe and Mail
Dharna Noor on Earther shared by Brian Kahn to Gizmodo,In Canada indigenous rights and climate justice advocates are holding protests all over the country blockading trains ports streets bridges and other transit Things escalated on Tuesday when protestors blockaded a major rail line connecting Toronto Ott 6348 chars,20200213T164500Z,Canadian Police Raided Indigenous Territory To Make Way for a Pipeline
Andrew Liszewski,There are lots of reasons not to eat greasy deepfried fast food the least of which being the challenges involved with disposing of used cooking oil clogged sewers But researchers at the University of Toronto found a way to turn oil from a deep fryer into 2534 chars,20200212T202000Z,Scientists Turned McDonalds Fryer Oil Into Plastic Resin For 3D Printed Models That Probably Smell Amazing
NAN,A woman who arrived in Toronto from China last week has a presumptive case of the novel coronavirus health officials said Sunday days after announcing the last of three people previously diagnosed in Ontario had been cleared of the illnessThe woman went 2751 chars,20200224T040000Z,New presumptive case of novel coronavirus in Toronto Canada News Castanetnet
CTVNewsca Staff,If the sky is clear Tuesday morning then most Canadians will get a chance at seeing a unique astronomical phenomenon The moon will pass by Mars in what skygazers call the occultation of Mars Youll have Mars and the Moon moving closer and closer toge 2226 chars,20200217T035645Z,You might be able to see Mars disappear behind the moon this week The Loop
