Author,Date,Location,Text
EmilyOlkkola,2020-03-13 00:49:27,"Denton, TX",RT My spouse pointed out when I wondered whether Zoom could handle every university class in the country that I coul
AMcDude,2020-03-13 00:49:27,🇨🇦,Canada making power plays
914mj,2020-03-13 00:49:28,DC Metro area,RT Now you can order things from the Trump Store and they will be shipped to you if you live in these countriesIndiaGermanyIrelandScotlandCanadaEnglandThisopens up a lot of opportunities for corruption
RealPistolPete7,2020-03-13 00:49:28,NAN,RT This is what TorSunphoto21 and I filed Jan 26 We highlighted the gamble Canada was taking by not properly screening flights from China and now stuff is being cancelled
_hudahassan,2020-03-13 00:49:28,toronto,RT never forget that during the H1N1 epidemic the Government of Canada sent body bags to remote reserves in Manitoba instead of sending them medicine and medical supplies think about this while youre in the city buying out hand sani and toilet paper at costco
AMcDude,2020-03-13 00:49:27,NAN,Canada making power plays
rosswilson69,2020-03-13 00:49:26,Turtle Island,cfao2020 PattyHajdu CPHOCanada GovCanHealth Right Photoops will always trump public well being in the political world
LeenaCat,2020-03-13 00:49:26,London ONin Northwestern ON,RT Were hustlers Amid coronavirus fears this couple has made more than 100000 reselling Lysol wipes
brent_gm,2020-03-13 00:49:25,NAN,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
ACubaNoticias1,2020-03-13 00:49:25,Estados Unidos,RT the Castro regime is pushing prodictatorship group BuenaFe in Canada Cubans in Canada will protest enmasse EmbacubaCanada JustinTrudeau CanadianPM CancelenBuenaFe
SurlySerf,2020-03-13 00:49:24,Punamukwatijk DartmouthNS,RT Dont worry Canada were a legitimate and separate country not a colony of colonies where every politician military officer judge and police officer pledges allegiance to a foreign dotard queen instead of you our country and constitution CanadianIdyll cdnpoli nspoli
IntAALady67s,2020-03-13 00:49:24,Ottawa Ontario,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
Counter_info,2020-03-13 00:49:22,Ontario Canada,Top Saudi Intelligence Official Chased to Canada by Crown Prince MBS
Sean_Of_Canada,2020-03-13 00:49:22,Eastern Canada,RT Money isnt real lol
Ianvista,2020-03-13 00:49:22,Scarborough,RT The Patty Hajdu Economy Amid coronavirus fears this couple has made more than 100000 reselling Lysol wipes
short_straw,2020-03-13 00:49:21,canada,RT We have a comprehensive funded COVID19 plan in Canada There are nations who cant even have proper burials for their dead The comments amp complaints to news about PMJT amp Sophie are ignorant disrespectful and make Canadians looks like spoiled brats Do better cdnpoli
DrTristanMcLean,2020-03-13 00:49:21,Ottawa Ontario,RT All parkrun events in Canada have been suspended with immediate effect due to the ongoing COVID19 Coronavirus situationAt this stage we have cancelled events up to the end of MarchFollow this link for Please share loveparkrun
UMNewsie,2020-03-13 00:49:26,Live in Annapolis,Due to the University of Marylands having to extend its spring break and move to virtual classes for at least two
chucker,2020-03-13 00:49:27,"Bremen, Germany",RT In 1665 the University of Cambridge temporarily closed due to the bubonic plague Isaac Newton had to work from ho
TheRocketGirl16,2020-03-13 00:49:27,"Strathroy, Ontario",Ive been told the same thing
connectthecunt,2020-03-13 00:49:21,NAN,RT never forget that during the H1N1 epidemic the Government of Canada sent body bags to remote reserves in Manitoba instead of sending them medicine and medical supplies think about this while youre in the city buying out hand sani and toilet paper at costco
harpreetsachdev,2020-03-13 00:49:20,Canada,RT My personal viewthis is horrible behaviour that is beyond capitalism profiteering and pricegouging on the fears of other Canadians Shameful Hey costcocanada review their membership Via dougquan
tumajanfran,2020-03-13 00:49:19,HTX,RT Global stocks past 24 hoursItaly 166Brazil 147Spain 146Canada 12France 12Germany 12UK 109US Dow 10Russia 82 India 82Australia 73Turkey 72Indonesia 5Japan 44S Korea 38HK 36Saudi 3China 15
BrendonAberdeen,2020-03-13 00:49:19,Toronto Ontario,RT Quebec is first province in Canada to do mandatory selfisolation for travellers Canada Quebec Montreal QuebecCity Coronavirus COVID2019
John_Kastner,2020-03-13 00:49:18,Stratford,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
GetMyGist,2020-03-13 00:49:18,Canada,RT CPHOCanada holy moly Dr Tam if handwashing could stop this pandemic then dont you think Wuhan and Italy would be OK right now Or are they filthy animals What are you even doing
TraceyP59989350,2020-03-13 00:49:18,NAN,RT HOCKEY CANADA STATEMENT IN RESPONSE TO CORONAVIRUS COVID19MORE
jonny_vi,2020-03-13 00:49:17,Victoria British Columbia,RT As of today we are directing all event organizers to cancel any gathering larger than 250ppl We are recommending against all nonessential travel outside of Canada including to the United States Anyone choosing to travel is required to selfisolate for 14 days upon return
2020Lakeside,2020-03-13 00:49:17,NAN,Following Hockey Canadas decision to cancel all Hockey Canadasanctioned activities due to concerns over COVID19 Hockey Manitoba has canceled all sanctioned games and programs effective immediately
ace_1985,2020-03-13 00:49:16,New York NY,Vinsanity Air Canada HalfMan HalfAmazing GREATEST DUNKER EVERI hope we havent seen the last of Vince Carter This dude was a MARTIAN What a spectacular ride Thank you mrvincecarter15
amecolmenares,2020-03-13 00:49:16,NAN,RT Canada is seeking reassurance from the US that its shared border will remain open despite fears over the spread of coronavirus
KLStewart52,2020-03-13 00:49:16,NAN,RT Following Hockey Canadas decision to cancel all Hockey Canadasanctioned activities due to concerns over COVID19 Hockey Manitoba has canceled all sanctioned games and programs effective immediately
onemoremartin,2020-03-13 00:49:15,Toronto Ontario,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
it3achsci,2020-03-13 00:49:15,Langley,RT Disgusting Ensuring everyone runs out and is put at risk so you can make a fortune Dirtbags bcpoli
wordinette,2020-03-13 00:49:15,mtl,RT This is what passes for good news in March 2020 Plenty of toilet paper to go around Canadas biggest producer Kruger Products LP says The Globe and Mail
_hudahassan,2020-03-13 00:49:28,toronto,RT never forget that during the H1N1 epidemic the Government of Canada sent body bags to remote reserves in Manitoba i
mgrickenba,2020-03-13 00:49:15,New York USA,RT Stock Market Crashing Sports canceled Concerts canceled People dying all over the worldWhat is trump doingNOTHINGthis is why i say im lucky im in Canada You can say all the crap you want about Trudeau but hes 1000 times better than trump
notdeeppodcast,2020-03-13 00:49:15,Ottawa Ontario,Canada is not taking COVID19 seriously Most people I talk to are downplaying it to your everyday flu Telling people to wash their hands is not enough Simply taking the reactive wait and see how this plays out approach will inevitably overburden our health care system
DECrowell,2020-03-13 00:49:14,Canada or Michigan most likely,chadlaughy tsnjamesduthie All Hockey Canada sanctioned minor hockey
juliankolsut,2020-03-13 00:49:14,Victoria British Columbia,RT As of today we are directing all event organizers to cancel any gathering larger than 250ppl We are recommending against all nonessential travel outside of Canada including to the United States Anyone choosing to travel is required to selfisolate for 14 days upon return
anthonyfurey,2020-03-13 00:49:14,NAN,RT This is what TorSunphoto21 and I filed Jan 26 We highlighted the gamble Canada was taking by not properly screening flights from China and now stuff is being cancelled
BarbAdamski,2020-03-13 00:49:14,Metro Vancouver,RT Swifter action is needed in Canada ASAPMy latest column in the Sun papers
ZipUncle,2020-03-13 00:49:14,NAN,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
amprivitere,2020-03-13 00:49:14,NAN,THEquadskater TechnaciousB At the end of February there was a news story in Canada pointing out that theres more people tested in one province alone BC than the entire US Two weeks later that hasnt changed gtgt
angwytweet,2020-03-13 00:49:13,Earth,PerilousCanada imwiththeband9 leighgt kate1330 SpencerFernando Media was complicit They promoted Trudeau and vilified Scheer 247 until after the election Only then did they start reporting on what a debacle this government is and has been
Sean_Of_Canada,2020-03-13 00:49:13,Eastern Canada,RT Donald Trump has a full blown crisis on his hands
KPBails,2020-03-13 00:49:13,NAN,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
MOngMD,2020-03-13 00:49:12,Toronto Canada,Thank god for universal healthcare in Canada
underdoggz010,2020-03-13 00:49:12,Colorado Springs CO,donie NatashaBertrand clarissaward Theyre in Canada as well
ArthurHagan7,2020-03-13 00:49:12,Edmonton Alberta,jkenney Stop begging The rest of Canada owes us nothing Put in a 5 sales tax
SkylierRain,2020-03-13 00:49:09,Toronto Ontario,WELP Great looks like Im out of work for the foreseeable future I love being a contract workerno benefits and no paid leave is GREAT
RealPistolPete7,2020-03-13 00:49:28,,RT This is what TorSunphoto21 and I filed Jan 26 We highlighted the gamble Canada was taking by not properly scre
914mj,2020-03-13 00:49:28,DC Metro area,RT Now you can order things from the Trump Store and they will be shipped to you if you live in these countriesInd
redrustin,2020-03-13 00:49:09,Native of Nowhere,Chelsea Manning Judge orders release from prison
LisaFedUp2,2020-03-13 00:49:09,NAN,RT VideoJamesNZ1 TiffFitzHenry Its deep here in Canada too This country is going down quickly right in front of us and theres nothing to stop it More corruption here than you can imagine Trafficking too is ramped
LabradorNewfie,2020-03-13 00:49:09,Newfoundland Labrador,RT Canadafuck yeah
freelanddacoach,2020-03-13 00:49:08,NAN,RT STATEMENT March 12 2020 Official statement from HockeyCanada and BC Hockey regarding the cancellation of all Hockey Canadasanctioned activities due to the coronavirus COVID19
angelemontielp,2020-03-13 00:49:07,NAN,RT Global stocks past 24 hoursItaly 166Brazil 147Spain 146Canada 12France 12Germany 12UK 109US Dow 10Russia 82 India 82Australia 73Turkey 72Indonesia 5Japan 44S Korea 38HK 36Saudi 3China 15
KellyKPMArtist,2020-03-13 00:49:07,St Louis MO,RT Stock Market Crashing Sports canceled Concerts canceled People dying all over the worldWhat is trump doingNOTHINGthis is why i say im lucky im in Canada You can say all the crap you want about Trudeau but hes 1000 times better than trump
coolkitty299,2020-03-13 00:49:07,NAN,RT As of today we are directing all event organizers to cancel any gathering larger than 250ppl We are recommending against all nonessential travel outside of Canada including to the United States Anyone choosing to travel is required to selfisolate for 14 days upon return
PeskySens4life,2020-03-13 00:49:07,Canada,RT Hockey Canada has conducted a couple of significant conference calls today I expect a statement regarding the status of minor hockey in Canada to be issued tonight
lambert_pp,2020-03-13 00:49:07,Canada,RT SOBEITWHERE WAS TRUDEAU A COUPLE MONTHS AGOWhos not banning planes from coming into CanadaHe promised to take the USA downTAKEITASYOUMAY
JB_at_Large,2020-03-13 00:49:07,NAN,RT There are lots of coronavirus stories And then there is this coronavirus story
nepean_a,2020-03-13 00:49:07,NAN,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
UncleLaleet,2020-03-13 00:49:06,Abbotsford British Columbia,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
ChrisKCorley,2020-03-13 00:49:06,Edmonton Alberta,YourAlberta CMO If you are returning to Alberta from outside of Canada you should selfisolate for 14 days even if you are feeling well and monitor for symptoms How far back for this Effective March 12 Within days Within a week I got back on March 4th
smcleodk9,2020-03-13 00:49:06,NAN,RT As of today we are directing all event organizers to cancel any gathering larger than 250ppl We are recommending against all nonessential travel outside of Canada including to the United States Anyone choosing to travel is required to selfisolate for 14 days upon return
RedQuinlan,2020-03-13 00:49:05,earth,RT FollowThe17 Will there be a shut down in canada
TrapGirl_Jojo,2020-03-13 00:49:28,"Houston, Tx",RT She got a 27 cuz she be on tour and one of the top artist in the world Yall got a 26 cuz yall smoke weed all d
skyjunell,2020-03-13 00:49:28,"Queens, NY",RT am i the only one that doesnt want my university to go to online courses i didnt sign up to take online course
tonyver45,2020-03-13 00:49:14,Durango Colorado,AllDayERDayRN MdSpuds DrGRuralMD mamiern85 Mummin8r Nursingstu2019 PetalConfetti docthewondercat MSWSHAWN
Pick57,2020-03-13 00:49:05,NAN,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
ChristopherOrp1,2020-03-13 00:49:05,Queens NY,RT Global stocks past 24 hoursItaly 166Brazil 147Spain 146Canada 12France 12Germany 12UK 109US Dow 10Russia 82 India 82Australia 73Turkey 72Indonesia 5Japan 44S Korea 38HK 36Saudi 3China 15
mrspeterpan12,2020-03-13 00:49:05,NAN,RT Nothing73144852 jasmineelgamal NYCMayor cdc Canada has tested thousands more than USA and we are one tenth the population
wordweasel,2020-03-13 00:49:05,Vancouver BC,What countries DOES Canada advise against travelling to due to COVID19 Why how fortunate you should ask And how does that rank compared with the literal State you were going to
schmittfam,2020-03-13 00:49:05,NAN,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
Colin_E_,2020-03-13 00:49:04,NAN,RT There are reports that Trudeau went into self isolation due to COVID19 but its more likely that he went into hiding because Canada is in a crisis and he has no idea what to do
VoetbalPompey,2020-03-13 00:49:04,NAN,RT Is there any country other than Canada that has 100 cases and has not enacted some form of travel ban andor mass gathering ban We seem to be the global laggard and seriously offside
1IIIII___,2020-03-13 00:49:04,NAN,MarkDice Its happening in Canada too it was sold out in 3 stores and grabbed the last one luckily I was thinking to purchase from Amazon too if theres nowhere to find
Jeswooldridge,2020-03-13 00:49:04,Toronto,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials
BigBrotherXtra,2020-03-13 00:49:04,London,BBCAN8 BREAKING SPOILER MICHEAL is Evicted from Big brother Canada
sonjaferne,2020-03-13 00:49:03,NAN,Meanwhile Canada has set up separate testing sites so that you dont infect others in the doctors office Some in hospitals with separate parking area for those coming for Covid19 test Come on America get your act together
Marketplaces247,2020-03-13 00:49:02,Lagos Nigeria,RT We are on Channelstv tomorrow by 10am as our Executive Director Bellemskey deepens the discourse on findings from Deconstructing the CanadaRush a study on Motivations for Nigerians emigrating to Canada
AdrshThakurr,2020-03-13 00:49:02,NAN,RT JUST IN Canada PM Justin Trudeau working from home as wife tested for COVID19 AFP
Hker42514503,2020-03-13 00:49:02,NAN,RT Your right to data privacy is important That is why as leader of a modern Conservative government I would ensure the integrity of Canadas internet network by denying Huawei any role in the development and operation of our 5G infrastructure cdnpoli cpcldr
SsacBaa,2020-03-13 00:49:02,South Side of YEG,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE
ChrisGoodwin79,2020-03-13 00:49:29,"Toronto, ON",Looks like 420Vancouver is postponed by the province
bent20,2020-03-13 00:49:28,"Leduc & Olds, Alberta",RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned
pdthorn,2020-03-13 00:49:02,Montral Qubec,soggyburrito willshelling juliarburnham pocket this ifwhen UBC campus locks down It is being offered in Canada as well
exposedarknes,2020-03-13 00:49:02,NAN,litecoinbull My parents are in California until the middle of April because thats where they spend the winter Theyre from Canada Should they come back now And what should I tell them because they will not believe alternative media
sjorolan,2020-03-13 00:49:01,Texas USA,RT Double Whammy Canada
Piglets_Eeyore,2020-03-13 00:49:00,NAN,Calgary Flames Ken King has died
janelle_bly,2020-03-13 00:49:00,NAN,meditateWILL cnnbrk Where I live we have already canceled events of over 250 people and about to close schools And some of Canada has We arent playing games
starmediaguy,2020-03-13 00:49:00,Rocky Mountains,RT Ottawa intelligence committee warns of brazen threats from China and Russia to Canadas national security and democracy
HOWMANYEGGS,2020-03-13 00:49:00,HECK,I dont want to get to imagine canada as I
WesleyCoughlan,2020-03-13 00:49:00,Miramichi New Brunswick CAN,RT Hockey Canada has cancelled all sanctioned events effective Friday March 13 2020
616KARRIEDEAN,2020-03-13 00:48:59,sheher 18,thailand singapore italy france canada idk i want to see everything but those are my main i think
GitS0906,2020-03-13 00:48:59,NAN,RT We are strongly encouraging employees across the US Canada as well as EMEA to work remotely including all European countries the UK Israel amp Morocco This is decided based on local guidance amp to protect employees their families amp our communities
DeanDettloff,2020-03-13 00:48:59,Toronto,Someone just got evicted from Big Brother Canada and they have to walk out to an empty stage and a global pandemic
Dude4Liberty,2020-03-13 00:48:59,Detroit,Quercetin amp zinc essentially Stockup and utilize natural strategies for bolstering our immune function CoronavirusPandemic
LynnRahn1,2020-03-13 00:48:59,Ontario Canada,PattyHajdu CPHOCanada GovCanHealth You have done nothing for 8 weeks Now you say between 3070 of Canadian population will be infected Even at 30 that is enough to launch a class action lawsuit against your willful blindness and ignorance
Princes76235995,2020-03-13 00:48:58,NAN,RT Jungkooks new fanbase in Canada Please follow them JungkookCanada JUNGKOOK BTStwt BTS BTSJK
zjlaing,2020-03-13 00:48:58,yeg,BREAKING All Hockey Canada sanctioned events have been postponed
ellisbry2,2020-03-13 00:49:21,,RT She got a 27 cuz she be on tour and one of the top artist in the world Yall got a 26 cuz yall smoke weed all d
htrhwkns,2020-03-13 00:49:19,Universee,RT Some good news to cheer you upKorea and China are recovering Vietnam had their cases under control until British
clarissaleon5,2020-03-13 00:49:23,,RT According to Harvard University below are the most difficult courses in the worldWhat position is yoursMine is
EricaBreunlin,2020-03-13 00:49:30,"Denver, CO",This story has been updated and will continue to be DenverSchools is holding a 7 pm press conference to share i
benditanichol_,2020-03-13 00:49:20,"Los Angeles, CA",RT My spouse pointed out when I wondered whether Zoom could handle every university class in the country that I coul
gsrobins,2020-03-13 00:49:30,"Vancouver, B.C., CANADA",European travel ban leaves impact on CanadaUS border unclearIts absolutely critical we keep the borders open
yyz_kartik,2020-03-13 00:49:30,Toronto ,University of Toronto CLOSE ALL CAMPUS of University of Toronto to prevent COVID19 Outbreak Sign the Petition
drog2000,2020-03-13 00:49:30,"Hitchcock, Saskatchewan",RT Statement from the Estevan Bruins regarding the announcement from HockeyCanada and the SJHL The decision affec
cjpirri,2020-03-13 00:48:58,NAN,RT Canadafuck yeah
